track_id,is_dev,target_id,method_id,metric_id,score
1,1,0,0,2,3.51189849145
1,1,1,0,2,3.33014921037
1,1,2,0,2,-4.15638810124
1,1,3,0,2,0.67635049311
1,1,4,0,2,-1.51478763388
2,1,0,0,2,5.05487658167
2,1,1,0,2,5.1421902377
2,1,2,0,2,1.26531717187
2,1,3,0,2,1.12146997535
2,1,4,0,2,1.01385632193
3,1,0,0,2,2.47040047778
3,1,1,0,2,-4.36996420319
3,1,2,0,2,1.31514411008
3,1,3,0,2,0.907426215965
3,1,4,0,2,1.39159753224
4,1,0,0,2,2.62302344447
4,1,1,0,2,3.03203186358
4,1,2,0,2,1.03477655343
4,1,3,0,2,-0.217659201549
4,1,4,0,2,2.57012482324
5,1,0,0,2,3.34554733837
5,1,1,0,2,0.161025854941
5,1,2,0,2,1.64371944353
5,1,3,0,2,1.85781019984
5,1,4,0,2,-1.44708273331
6,1,0,0,2,3.86934643621
6,1,1,0,2,-0.148714394017
6,1,2,0,2,5.22427011549
6,1,3,0,2,0.0947581071897
6,1,4,0,2,3.00025596143
7,1,0,0,2,3.89285919359
7,1,1,0,2,3.33093422465
7,1,2,0,2,1.75234159302
7,1,3,0,2,0.449476828535
7,1,4,0,2,3.77989822958
8,1,0,0,2,4.10678150864
8,1,1,0,2,-1.40164007762
8,1,2,0,2,3.24460641977
8,1,3,0,2,1.18772481611
8,1,4,0,2,1.23337114844
9,1,0,0,2,4.87985060058
9,1,1,0,2,0.41779876221
9,1,2,0,2,0.364048325638
9,1,3,0,2,1.38264310769
9,1,4,0,2,2.30715026831
10,1,0,0,2,2.53303311467
10,1,1,0,2,-7.43045561677
10,1,2,0,2,-0.827943559437
10,1,3,0,2,1.64588087254
10,1,4,0,2,1.52416237026
11,1,0,0,2,3.21489463853
11,1,1,0,2,-3.44475649493
11,1,2,0,2,3.13308836924
11,1,3,0,2,1.5815966348
11,1,4,0,2,0.661466090831
12,1,0,0,2,3.52945182886
12,1,1,0,2,-2.12071714672
12,1,2,0,2,2.80536463047
